#汉字	同音同调	同音异调
一	壹漪	以义移易
舍	社赦射叶拾涉摄设	甚舌什奢蛇赊
舒	疏殊枢梳输书蔬抒	术鼠曙束署暑属庶恕漱熟树黍叔薯述蜀赎淑数竖墅
舔		天恬填添甜田
舞	武伍捂侮午鹉五	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
舟	周州粥洲	昼肘咒皱帚轴宙
航	行杭吭
般	班剥胖扳搬颁菠播拨盘玻斑	半扮渤拌勃伯卜瓣薄判攀畔盼舶柏潘叛驳泊搏办簸脖膊伴板白版绊跛博荸
舰	践建溅鉴渐健荐监件涧键间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
舱	苍仓沧	藏
舵	踱堕惰跺驮度	躲朵夺多
舶	泊渤搏勃白柏伯博卜脖薄驳膊荸	剥跛簸玻播拨般菠
舷	嫌衔弦涎闲贤咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
船	传	喘串穿川
艇	挺	听庭蜓廷停亭厅
艘	骚搔	嫂扫
良	凉量粱梁粮	两俩谅晾亮辆
艰	坚兼尖溅歼煎渐间监肩奸	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
色	塞瑟圾涩
艳	谚咽淹焰宴雁沿验研燕堰砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
艺	腋邑逸肄掖亦意抑义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
艾	碍艺肄意抑疫异忆翼衣益奕液爱毅屹一隘议谊腋邑逸掖亦义溢役易亿译绎	哀夷疑医仪伊唉漪依已以倚蔼椅乙矮哎遗壹移姨胰宜揖尾蛇埃蚁矣挨
节	竭杰截劫捷结洁	接揭皆阶届街界介姊借解诫戒姐芥
芋	域裕玉愈尉育誉浴寓欲御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
芍	勺	稍捎少梢烧绍召哨
芒	氓盲茫忙	莽
芙	辐蝠浮福幅服缚俘袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
芜	蜈无巫诬亡梧吴	于务伍雾午乌舞勿武五呜污悟屋恶晤误物坞捂侮鹉
芝	只氏枝肢知织蜘支之吱脂汁	址植治致制直窒掷征帜执稚志智挚值止纸趾职至秩置滞殖指识旨质
芥	届介界借解诫戒	接节杰竭截揭阶皆街劫捷姊结洁姐
芦	颅炉卢庐	露录鹿氯卤陆路鲁虏赂碌
芬	纷吩氛分	粉愤粪奋份忿焚坟
芭	八巴扒捌笆疤吧叭	爸靶霸把伯耙罢拔跋坝
芯	衅欣薪新辛信心锌	寻
花	华哗	豁化划桦画话滑猾
芳	坊方	房妨放访纺肪防仿
芹	勤擒秦琴禽	侵亲钦寝
芽	笛牙的蚜嘀嫡涯衙押涤敌	压弟抵鸭地鸦蒂轧雅呀讶低递亚帝滴底第哑缔
苇	委伟尾萎纬	为卫薇位喂伪尉维胃未味威违偎遗慰蔚微桅谓围唯危魏巍畏
苍	仓舱沧	藏
苏	酥	缩俗肃宿粟塑诉素速溯
苔	台胎抬	态泰汰太
苗	描瞄	庙秒妙渺藐
苛	磕科蝌棵刻颗	咳坷客课壳渴可克
苞	褒包胞	爆堡饱刨暴薄雹保豹宝抱报
苟	狗	勾钩沟垢购构句够
若	弱惹	热
苦		裤枯酷哭库窟
英	莺婴鹦应缨樱鹰	荧影营迎莹蝇映赢萤景颖硬盈
苹	萍平评屏坪冯瓶凭	乒
茁	卓浊灼拙着啄琢酌	桌捉
茂	贸冒帽貌	毛茅矛锚猫
范	泛犯贩饭	樊返矾繁烦帆番凡翻反
茄	佳加家夹嘉	切荚假钾挟价贾契稼甲怯颊窃嫁夏且架驾
茅	矛锚毛	贸冒猫貌帽茂
茉	默漠磨墨脉末沫莫膜陌寞没	么蘑摩魔抹摸摹模
茎	鲸兢惊精经睛荆京更晶	颈径境竞静阱景净井劲靖警敬竟镜
茧	柬拣捡检简俭剪减碱	践尖建鉴歼健监涧键兼贱肩箭溅渐荐坚艰舰煎间件剑见奸
茫	氓盲芒忙	莽
茴	回蛔	恢虫堕挥诲灰秽惠讳贿汇绘辉毁徽悔晦慧溃会
茵	因殷音姻阴	印瘾隐吟听银淫饮引蚓
茶	察查	刹岔叉喳差插
茸	溶荣绒冗蓉榕熔容融
荆	鲸兢惊精经睛茎京更晶	颈径境竞静阱景净井劲靖警敬竟镜
草		曹槽操糙
荐	践建溅鉴渐健监件涧键舰间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
荒	慌	黄恍谎皇晃煌凰幌惶蝗
荔	立吏砾雳丽痢隶沥粒励厉力历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
荚	挟颊夹	佳钾加价架甲夏嘉驾家稼嫁贾假茄
荠	际纪妓祭季记剂系既计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
荡	挡当	铛裆档党
荣	溶绒蓉榕熔融容茸	冗
荤	昏婚	浑魂混
荧	营迎蝇赢萤莹盈	影莺鹦婴英应映缨樱景颖硬鹰
药	悦越阅耀岳拗粤跃说乐要钥月	侥摇么哟夭淆腰遥舀肴谣咬吆约邀窑姚妖
荷	合鹤贺核盖和何河喝禾吓盒赫褐	呵
荸	泊舶渤搏勃白柏伯博卜脖薄驳膊	剥跛簸玻播拨般菠
莉	立吏砾雳丽痢隶沥粒励厉力荔历例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
莫	默漠磨墨脉末沫膜陌寞茉没	么蘑摩魔抹摸摹模
莱	来	癞赖
莲	帘怜连镰联廉	恋练脸敛炼链
获	豁或货祸霍惑	活和伙火
莹	荧营迎蝇赢萤盈	影莺鹦婴英应映缨樱景颖硬鹰
莺	婴鹦英应缨樱鹰	荧影营迎莹蝇映赢萤景颖硬盈
莽		芒盲茫氓忙
菊	局鞠橘	聚蛆沮居车具俱炬举锯句据拘巨剧距拒驹惧矩足
菌	骏俊竣峻	窘君钧均龟军
菜	采	财材踩才猜裁彩睬
菠	剥播拨般玻	泊舶渤搏勃驳白柏伯跛博卜簸薄脖膊荸
菩	仆葡朴蒲脯	瀑浦谱暴铺圃普扑
菱	凌灵玲伶蛉铃陵龄翎零	岭另领令
菲	啡非诽飞匪	废费沸肺肥吠
萄	逃淘陶桃涛	套掏讨滔
萌	朦盟檬蒙	梦锰猛孟
萍	苹平评屏坪冯瓶凭	乒
萎	委伟尾苇威偎纬	为卫位喂维未胃味慰谓围巍畏薇伪尉违遗蔚微桅唯危魏
萝	箩锣骡螺罗逻	烙裸洛落酪络骆
萤	荧营迎蝇赢莹盈	影莺鹦婴英应映缨樱景颖硬鹰
营	荧迎蝇赢萤莹盈	影莺鹦婴英应映缨樱景颖硬鹰
萧	嚣哮削宵硝箫销消	孝晓肖校小笑酵效学啸
萨	飒	撒洒
落	蜡烙辣洛酪络腊骆	箩萝锣喇骡裸拉螺罗啦逻
葛	阁合革格隔蛤	搁戈割胳各鸽哥疙个歌
葡	菩仆朴蒲脯	瀑浦谱暴铺圃普扑
董	懂	东冻栋冬洞动
葫	壶狐胡糊蝴弧湖	许呼沪互戏唬户乎护虎忽
葬	脏藏	赃
葱	聪从囱匆	丛
葵	魁	傀窥愧盔溃亏
蒂	的弟递帝第地缔	笛抵嘀低嫡滴底涤敌芽
蒋	讲桨奖	将姜浆酱江僵强匠疆缰降
蒙	萌盟朦檬	梦锰猛孟
蒜	算	酸
蒲	菩仆葡朴脯	瀑浦谱暴铺圃普扑
蒸	丁正征筝怔症狰睁挣争	政整郑证拯
蒿		鹤壕浩镐号耗好嚎毫豪
蓄	叙畜绪恤酗序絮旭婿续	许徐需虚须吁
蓉	溶荣绒榕熔融容茸	冗
蓝	拦澜篮栏兰	览懒榄缆烂揽滥
蓬	棚膨硼鹏篷澎朋彭	捧碰烹砰
蔑	灭
蔓	漫幔慢曼	瞒蛮满馒
蔗	浙这宅	遮摘折哲着者辙
蔚	为卫谓位尉喂伪胃未味遗慰魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
蔬	疏殊枢梳输书舒抒	术鼠曙束署暑属庶恕漱熟树黍叔薯述蜀赎淑数竖墅
蔼	矮	哀碍爱哎埃艾隘挨唉
蔽	庇毙臂毕弊币必避辟泌壁碧璧闭比鄙	逼彼鼻匕笔
蕉	交椒娇胶焦礁教骄浇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
蕊		锐瑞
蕴	晕酝孕运韵员	陨允云耘匀
蕾	垒累儡	勒泪擂雷类
薄	泊渤搏勃伯卜簸脖膊舶白柏博雹播驳荸	爆宝剥堡饱跛报豹暴刨包苞玻保拨般褒抱菠胞
薇	为维围违唯危微巍桅	委卫位喂胃未味威偎慰谓苇畏伪尉遗萎纬蔚伟尾魏
薛	靴	削雪学穴血
薪	欣新辛锌芯	衅信寻
薯	暑黍鼠属数蜀署	术曙束书庶恕漱舒熟树梳叔述赎抒疏殊枢输淑竖蔬墅
藏	脏葬	仓苍赃舱沧
藐	秒渺	庙描妙瞄苗
藕	偶呕	欧区殴鸥
藻	澡蚤早枣	皂躁造糟灶噪遭燥凿
蘑	磨膜摩魔摹模	默漠么墨脉末沫莫寞陌抹摸茉没
蘸	栈暂战占站绽颤	盏沾瞻崭毡斩展
虎	许唬	沪狐互户葫忽胡湖壶呼戏乎护糊蝴弧
虏	鲁卤	露录卢鹿氯炉陆芦颅路庐赂碌
虐	疟
虑	氯滤律绿率	侣履屡旅娄驴缕铝吕
虚	须需吁	许徐绪叙畜恤酗序絮旭婿蓄续
虫	崇重	宠充冲
虫	贿重毁悔诲崇会	恢充茴堕惠宠讳晦冲汇挥回绘辉徽灰慧溃秽蛔
虱	狮失施诗师湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
虹	洪鸿红宏	汞轰哄烘
虽		随祟穗岁遂隧髓碎
虾	瞎	狭匣洽厦挟暇峡侠下夏吓霞斜辖
蚀	硕实提食什时石十拾射	拭匙势室施屎使柿侍驶饰誓狮氏诗恃示式史事释适嗜尸失逝是虱士市世矢试视识始师湿
蚁	尾椅乙矣已以倚	夷疑医艺肄意抑仪伊疫异漪忆翼衣益奕液毅屹艾一依议谊腋邑逸掖亦义溢遗移役易姨胰宜揖亿译绎蛇壹
蚂	码吗玛马	么蟆麻妈骂
蚊	文纹闻	免紊问瘟吻温稳
蚌	傍谤旁磅棒	梆膀帮榜邦绑
蚓	瘾引隐听饮	印吟淫银因殷茵音姻阴
蚕	残惭	惨参餐灿
蚜	牙涯衙押芽	压鸭鸦轧雅呀讶亚哑
蚣	宫弓共攻躬公工供恭功红	拱汞巩贡矿
蚤	澡藻早枣	皂躁造糟灶噪遭燥凿
蚪	斗抖陡	痘都读逗兜豆
蚯	丘龟秋	求仇球囚
蛀	助住注柱祝铸驻	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
蛆	曲圈拘屈沮居车趋躯俱驹岖驱锯区	聚漆去具取炬举局巨橘矩趣足句据菊鞠剧距拒娶惧渠
蛇	夷宜甚疑舌什遗仪一移姨胰谊	医艺肄意抑伊拾涉疫异漪忆翼衣益奢液奕毅屹艾依赦已议射以倚腋邑逸掖椅乙亦义溢舍叶赊摄役易设社揖尾亿译绎蚁矣壹
蛉	凌灵菱玲伶铃陵龄翎零	岭另领令
蛋	诞弹石氮担旦但淡	单胆耽丹
蛔	茴回	恢虫堕挥诲灰秽惠讳贿汇绘辉毁徽悔晦慧溃会
蛙	挖洼	娃瓦袜
蛛	朱猪珠诸株	助贮煮住注主柱筑术祝属铸轴拄竹烛蛀嘱驻逐
蛤	阁合革格隔葛	搁戈割胳各哥鸽哈疙个歌
蛮	漫瞒馒	满曼幔慢蔓
蛹	泳踊拥咏勇永	庸用佣
蛾	额讹鹅俄	噩阿愕饿遏哑鳄恶扼
蜀	暑黍鼠属薯数署	术曙束书庶恕漱舒熟树梳叔述赎抒疏殊枢输淑竖蔬墅
蜂	丰疯峰风封枫锋讽	奉凤缝逢冯
蜈	无芜巫诬亡梧吴	于务伍雾午乌舞勿武五呜污悟屋恶晤误物坞捂侮鹉
蜓	庭廷亭停	厅艇听挺
蜕	睡说退税	谁颓腿推水
蜗	瓜括刮	卦挂寡褂
蜘	只氏芝枝肢知织支之吱脂汁	址植治致制直窒掷征帜执稚志智挚值止纸趾职至秩置滞殖指识旨质
蜜	密秘觅泌	咪靡弥米迷谜糜
蜡	辣落腊	拉喇啦
蜻	氢倾卿顷轻清青	亲庆情擎请晴
蝇	荧营迎赢萤莹盈	影莺鹦婴英应映缨樱景颖硬鹰
蝉	单馋缠	搀产阐铲掺
蝌	磕苛科棵刻颗	咳坷客课壳渴可克
蝗	黄皇煌凰惶	恍谎荒慌晃幌
蝙	边鞭编	辫便辨辩遍变扁匾贬
蝠	芙辐浮福幅服缚俘袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
蝴	壶狐胡葫糊弧湖	许呼沪互戏唬户乎护虎忽
蝶	碟谍跌叠	爹
螃	膀庞旁	胖乓磅
融	溶荣绒蓉榕熔容茸	冗
螟	鸣铭明名	命
螺	箩萝锣骡罗逻	烙裸洛落酪络骆
蟀	硕帅烁数率勺	说摔甩衰
蟆	吗么麻	码玛马蚂妈骂
蟋	悉膝熙厘畦栖吸携晰析行西牺犀稀嬉希溪	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
蟹	骇屉谢屑卸契泻楔解懈械	鞋写挟协些携谐歇斜邪血胁
蠕	如儒软	女入辱褥乳
蠢		醇唇春淳纯
血	写穴雪削	靴骇屉屑鞋挟蟹携谐楔歇斜邪懈械胁谢协卸契些泻解薛学
衅	信芯	寻欣薪新辛心锌
行	悉邢熙膝杭刑厘畦栖吸携晰析形型航西牺吭犀稀嬉希溪蟋	习腥姓惜锡徙戏醒隙兴媳喜杏息星猩洗幸熄席系夕袭性昔省细
衍	眼掩演	谚咽炎淹焰艳颜奄延雁烟验沿堰癌厌砚唁严阎殷宴研燕盐言
衔	嫌弦舷涎闲贤咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
街	接揭皆阶结	节杰竭截届界介劫捷借解诫戒姊姐洁芥
衙	牙蚜涯押芽	压鸭鸦轧雅呀讶亚哑
衡	恒横	哼
衣	医艺肄意抑伊疫异漪忆翼益奕液毅屹艾一依议谊腋邑逸掖亦义溢役易揖亿译绎壹	姨夷宜尾疑椅乙矣遗仪蛇蚁移已胰以倚
补	捕哺卜	埠步不怖部布簿
表		标膘彪
衫	山杉删珊扇	闪陕善单赡擅膳
衬	趁称	沈臣晨沉尘陈辰忱
衰	催崔摔摧	悴蟀帅甩率翠脆粹
衷	中忠盅终钟	种肿众重仲
袁	猿源辕原援缘园元员圆	远宛渊愿怨冤鸳院
袄		澳懊傲拗熬奥凹
袋	贷戴带大待逮代怠	歹呆
袍	刨咆炮	跑泡抛
袒	毯坦	贪檀碳炭叹探谭潭弹瘫痰坛昙谈滩摊
袖	锈臭宿嗅秀绣	朽休修羞
袜		瓦洼蛙娃挖
被	匹臂背霹贝坏辈批焙狈惫备劈披倍	屁否卑脾罢啤皮疲杯譬悲僻北碑辟
袭	习息媳昔惜熄席锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
袱	芙辐蝠浮福幅服缚俘符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
裁	财才材	菜采踩猜彩睬
裂	列劣烈猎	咧
装	妆庄桩	壮撞状
裆	铛当	档挡荡党
裕	域玉愈尉育誉浴寓欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
裙	群
裤	库酷	窟枯苦哭
裳	场长偿常尝肠	唱昌上尚晌厂畅商倡敞汤猖赏伤
裸		箩萝锣骡烙洛落酪螺罗逻络骆
裹	果	锅国郭过
褂	卦挂	刮寡瓜蜗括
褐	合核盖和荷何河禾盒	鹤喝吓呵贺赫
褒	包苞胞	爆堡饱刨暴薄雹保豹宝抱报
褥	入辱	女蠕如乳儒
褪		吞囤臀屯
襟	津金斤巾禁浸今筋	进尽锦紧劲仅谨近晋
西	悉膝熙厘畦栖吸携晰析行牺犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
见	践建溅鉴渐健荐监件涧键舰间贱剑箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
观	惯官棺冠贯罐灌关	馆管
规	傀归瑰龟闺	跪鬼诡桂柜贵轨
觅	密蜜秘泌	咪靡弥米迷谜糜
视	拭势逝室是使柿侍市士世饰适誓试氏恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
览	懒榄缆揽	拦蓝澜篮烂栏兰滥
觉	掘轿决倔叫角窖绝诀教校脚爵较嚼	矫侥搅狡椒交绞蕉饺娇胶焦剿礁骄浇郊缴
角	侥矫狡倔绞诀绝掘搅较觉决饺缴剿爵脚嚼	交椒轿叫蕉娇胶焦窖礁教校骄浇郊
解	骇屉屑蟹楔借戒懈械姐芥谢届卸契界介泻诫姊	鞋竭杰截谐劫歇邪洁接阶写协些节挟街携结斜胁揭捷皆血
触	矗畜处	锄储初楚橱除础厨雏出
言	炎颜阎延沿研癌盐严	淹谚咽唁演艳焰掩奄宴雁烟验殷衍燕堰眼厌砚
誉	域裕玉愈尉育浴寓欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
誊	疼腾
誓	拭势逝室是使柿侍市士世饰适试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
警	颈井景阱	兢惊径境竞荆茎靖京竟镜鲸经精睛静净劲敬更晶
譬	僻屁辟	否匹脾霹啤批坏被罢疲皮劈披
计	际纪妓荠祭季记剂系既鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
订	锭定钉	丁盯叮鼎顶
认	赁韧纫刃任	仁人儿忍
讥	激绩叽稽居唧机几迹基饥箕奇肌其积畸鸡期	纪妓即给籍荠吃棘脊借急记嫉既鲫级集寂及继济挤寄冀吉骑际辑祭季剂击系计技忌圾己极疾
讨		掏滔萄逃淘陶套桃涛
训	逊讯驯迅汛殉	巡寻旬勋询循
议	腋邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿奕液毅译绎屹艾一谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
讯	逊训驯迅汛殉	巡寻旬勋询循
记	际纪妓荠祭季剂系既计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
讲	蒋桨奖	将姜浆酱江僵强匠疆缰降
讳	诲惠贿汇绘晦慧会溃秽	恢虫茴堕回挥辉毁徽悔灰蛔
讶	亚轧	牙压蚜鸭鸦雅呀涯衙押芽哑
许	唬虎	狐沪恤酗忽旭胡湖呼徐戏乎糊序絮婿续弧叙互畜绪户葫蓄壶需护虚须蝴吁
讹	额鹅蛾俄	噩阿愕饿遏哑鳄恶扼
论	仑轮抡伦沦
讼	宋诵颂送	耸松
讽	丰疯奉峰风封枫锋凤缝蜂	冯逢
设	社赦射舍叶拾涉摄	甚舌什奢蛇赊
访	纺仿	芳房妨放坊肪方防
诀	掘倔决觉角绝爵脚嚼
证	政正郑症挣	丁征整睁拯狰筝怔蒸争
评	苹萍平屏坪冯瓶凭	乒
诅	祖组阻	卒族租足
识	拭势室治致使柿侍制饰窒誓氏恃示帜式稚事志释适嗜智挚逝是市士至秩世置试视知滞质	址植提匙施时屎驶拾直脂掷狮只实征诗什食织石执十史蜘之射尸失肢枝硕值止纸趾职虱蚀支吱矢汁芝殖指旨始师湿
诈	炸栅乍	眨喳渣查扎闸
诉	缩肃宿粟塑素速溯	酥苏俗
诊	枕疹侦珍斟榛针贞真	阵震振镇
词	瓷雌祠辞慈磁	厕刺此伺差赐次
译	腋邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿奕液毅绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
试	拭势逝室是使柿侍市士世饰适誓氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
诗	狮失施虱师湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
诚	呈成惩程城承乘盛橙澄	称秤撑逞
话	化划画桦华	豁花滑猾哗
诞	弹石氮担蛋旦但淡	单胆耽丹
诡	鬼轨	傀归跪规瑰龟桂柜闺贵
询	巡寻旬驯循	逊讯训勋迅汛殉
该		概丐改溉盖钙
详	祥翔降	像想向箱镶巷湘象橡相项乡厢享响香
诫	届介界借解戒芥	接节杰竭截揭阶皆街劫捷姊结洁姐
诬	蜈吴于无芜巫亡梧乌屋呜污恶	舞务伍勿雾晤误物坞悟捂侮午五鹉武
语	域裕雨屿予玉愈尉育誉浴寓欲芋御狱郁与豫预遇羽吁谷宇喻	逾迂于愉渔榆娱鱼舆隅愚淤
误	勿务晤雾物坞悟恶	无于伍巫诬午乌吴舞梧武五呜污芜亡屋蜈捂侮鹉
诱	佑又有幼右	忧幽尤悠犹游由邮友油优
诲	虫惠讳贿汇绘毁悔晦慧会溃秽	恢茴堕回挥辉徽灰蛔
说	悦越阅蜕耀岳药粤跃睡乐税钥月	谁蟀硕帅烁数约率勺水
诵	宋颂送讼	耸松
请	顷	亲氢庆倾卿情擎轻清蜻晴青
诸	朱蛛猪珠株	助贮煮住注主柱筑术祝属铸轴拄竹烛蛀嘱驻逐
诺	糯懦	挪娜
读	牍痘毒斗逗独豆	肚渡堵督杜都陡睹兜镀度妒蚪赌抖
诽	菲匪	啡非废费沸肺肥吠飞
课	克可刻客	磕苛咳坷科蝌棵壳渴颗
谁		睡说税蜕水
调	条钓掉吊	跳挑叼刁雕碉
谅	凉量晾亮辆	两俩良粮梁粱
谆	屯	准
谈	弹檀痰坛昙谭潭	贪瘫毯碳叹炭探滩袒坦摊
谊	夷疑艺肄意抑仪疫异忆翼衣益奕液毅屹艾一议腋邑逸掖亦义溢遗移姨役易胰宜亿译绎蛇	揖尾医椅乙矣依伊蚁壹已以倚漪
谋		某
谍	碟蝶跌叠	爹
谎	幌恍晃	黄荒皇慌煌凰惶蝗
谐	鞋挟协携斜邪胁	骇屉谢屑写蟹卸契些泻楔歇解懈械血
谒	页咽夜业叶射	爷野椰也冶
谓	为卫位尉喂伪胃未味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
谚	淹咽焰艳宴雁沿验研燕堰砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
谜	弥迷靡糜	密咪蜜米秘觅泌
谢	骇屉屑蟹卸契泻楔解懈械	鞋写挟协些携谐歇斜邪血胁
谣	侥摇淆遥肴窑姚	么耀夭哟舀腰药乐咬吆要拗钥邀妖
谤	傍蚌旁磅棒	梆膀帮榜邦绑
谦	嵌千迁牵纤签铅	干浅潜欠黔谴前钱钳遣歉
谨	尽仅锦紧	津进金斤劲巾禁浸近今筋晋襟
谭	弹檀痰坛昙谈潭	贪瘫毯碳叹炭探滩袒坦摊
谱	圃普浦	菩瀑仆扑葡朴铺暴蒲脯
谴	浅遣	千前钱钳歉干嵌迁欠潜牵纤黔签铅谦
谷	域裕玉愈凸尉育誉浴寓欲鼓滑芋御骨狱股贾郁古与豫预遇语吁喻	沽屿于愉榆顾淤辜渔娱家舆隅雇姑羽逾估雨予鱼咕告愚孤迂故宇固
谷	骨股凸古鼓滑贾	估沽辜家雇咕告顾姑孤故固
豁	华或获货划桦祸滑猾霍惑哗	化和花伙画火活话
豆	斗逗痘读	都陡兜蚪抖
豌	弯湾	玩顽万腕碗宛娩丸完惋婉晚挽
象	像相橡项向乡巷	想祥箱镶厢详享响湘翔香降
豪	鹤壕号嚎毫	浩镐耗好蒿
豫	域裕玉愈尉育誉浴寓欲芋御狱郁与预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
豹	爆暴刨抱报	褒堡饱包薄雹苞保宝胞
豺	柴	差拆
貌	贸冒帽茂	毛茅矛锚猫
贝	臂背被辈焙狈惫备倍	卑悲杯北碑
贞	诊侦珍斟榛针真	阵振枕震疹镇
负	附妇赴傅赋富复咐父腹副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
贡	供共	弓攻公工红矿宫汞蚣躬巩恭功拱
财	才材裁	菜采踩猜彩睬
责	窄择债泽贼则祭寨	侧斋宅摘怎齐
贤	嫌衔弦舷涎闲咸	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
败	拜	白百摆
账	丈涨长帐胀杖仗障	彰掌樟张章
货	豁或获祸霍惑	活和伙火
质	智挚植致治值制职至秩直置窒掷知滞帜殖执识稚志	只氏址枝肢芝征织止指纸趾旨蜘支之吱脂汁
贩	饭犯泛范	樊返矾繁烦帆番凡翻反
贪	滩瘫探摊	弹檀毯痰坛碳叹昙炭谈袒谭坦潭
贫	频濒	品拼聘
贬	匾扁	辫蝙便辨辩遍变边鞭编
购	够构垢	苟勾沟钩狗句
贮	煮主嘱属拄	助朱住注蛛猪柱筑术珠祝铸轴竹烛蛀诸逐驻株
贯	观惯冠罐灌	馆管官棺关
贰	二	尔耳饵而儿
贱	践建溅鉴渐健荐监涧键舰间件剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
贴	帖	铁
贵	桂跪柜	傀归规鬼瑰诡龟闺轨
贷	戴袋带大待逮代怠	歹呆
贸	貌冒帽茂	毛茅矛锚猫
费	废吠肺沸	啡肥菲非诽飞匪
贺	鹤和荷喝吓赫	合核盖何河禾呵盒褐
贼	窄择泽则责	怎侧
贾	凸钾价架甲鼓滑夏骨驾股古稼嫁假谷	估沽佳辜固荚加挟家雇咕颊顾告姑孤故夹嘉茄
贿	虫诲惠讳汇绘毁悔晦慧会溃秽	恢茴堕回挥辉徽灰蛔
赁	躏认韧纫刃吝任	凛临人忍淋鳞琳邻儿仁林磷
赂	露录鹿氯陆路碌	卢炉卤芦颅鲁庐虏
赃	脏	藏葬
资	姿滋咨吱	自字紫仔籽子滓
赊	奢	社甚舌赦什射舍蛇叶拾涉摄设
赋	附妇赴傅富复咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
赌	睹肚堵	牍渡督毒杜都读镀度妒独
赎	淑熟叔	树梳黍术鼠薯曙述蜀束署书抒暑疏殊枢输属数竖庶蔬恕墅漱舒
赏	上晌	尚商裳汤伤
赐	食厕四刺饲伺肆似次寺	死瓷私司丝词此思差斯慈雌撕祠辞嘶磁
赔	陪培	佩坏配胚沛
赖	癞	莱来
赘	坠缀	锥椎追
赚	传撰钻转	专砖
赛	塞	腮
赞	暂	咱
赠		憎增曾
赡	善单扇擅膳	闪衫山陕杉删珊
赢	荧营迎蝇萤莹盈	影莺鹦婴英应映缨樱景颖硬鹰
赤	翅斥	匙弛驰池迟持吃尺嗤齿耻侈
